Input Sample,CT2,CT3,CT4,CT5,P-value,Pearson Correlation,RMSE
Mixed_1,0.575534445,0.085090013,0.089739051,0.249636491,0,0.86130119,0.521641734
Mixed_2,0.795960466,0.106402257,0.072168283,0.025468994,0,0.816528449,0.576837846
Mixed_3,0.198806013,0.171165146,0.207099484,0.422929357,0,0.888722191,0.485028263
Mixed_4,0.084600464,0.072000967,0.400314217,0.443084352,0,0.872821597,0.497192532
Mixed_5,0.570780153,0.068643936,0.120371724,0.240204188,0,0.770448467,0.637164133
Mixed_6,0.430855383,0.197374789,0.130450881,0.241318946,0,0.731271113,0.681136199
Mixed_7,0.460481371,0.098051709,0.085624745,0.355842175,0,0.772800652,0.634976866
Mixed_8,0.520546345,0.271921794,0.142473219,0.065058642,0,0.84522843,0.544376465
Mixed_9,0.416606786,0.323116027,0.015314321,0.244962866,0,0.797262237,0.606563407
Mixed_10,0.531673156,0.112152075,0.209020609,0.14715416,0,0.712902839,0.700198253
Mixed_11,0.380708102,0.070949242,0.392538613,0.155804043,0,0.862564209,0.520039154
Mixed_12,0.356430033,0.314729375,0.035160694,0.293679898,0,0.840590191,0.553454263
Mixed_13,0.391349026,0.169531339,0.263803014,0.175316621,0,0.738602506,0.673426021
Mixed_14,0.452594519,0.250161528,0.063286144,0.233957809,0,0.806465587,0.596791484
Mixed_15,0.520411435,0.295226487,0.138441176,0.045920901,0,0.655558164,0.75879039
Mixed_16,0.336228979,0.057976154,0.308961494,0.296833374,0,0.519826414,0.876316435
Mixed_17,0.488086444,0.036129887,0.226280353,0.249503316,0,0.697201581,0.716214794
Mixed_18,0.583364268,0.281338442,0.050389119,0.084908171,0,0.67812452,0.73755743
Mixed_19,0.56886339,0.103331565,0.011664468,0.316140577,0,0.868122308,0.509757358
Mixed_20,0.221883807,0.031560531,0.105492804,0.641062858,0,0.893609045,0.456167048
Mixed_21,0.526370017,0.314703953,0.130773443,0.028152587,0,0.740058803,0.671492507
Mixed_22,0.345648248,0.450620665,0.042428518,0.161302569,0,0.781050661,0.624475078
Mixed_23,0.518984849,0.206658066,0.063734301,0.210622784,0,0.87212972,0.509834558
Mixed_24,0.553565953,0.006958604,0.32826236,0.111213083,0,0.762838912,0.645416691
Mixed_25,0.379904603,0.275433213,0.221453594,0.12320859,0,0.665398655,0.746515097
Mixed_26,0.572753002,0.160222846,0.006971188,0.260052964,0,0.599107869,0.812082225
Mixed_27,0.360023334,0.484417194,0.116960193,0.03859928,0,0.818668995,0.576394106
Mixed_28,0.477773599,0.311270793,0.092377096,0.118578511,0,0.855115133,0.5326915
Mixed_29,0.330509366,0.251595481,0.080143291,0.337751861,0,0.703834287,0.709034933
Mixed_30,0.252043929,0.491049398,0.103276661,0.153630012,0,0.802389724,0.598303948
Mixed_31,0.51736171,0.217473391,0.202172209,0.06299269,0,0.904148571,0.458837351
Mixed_32,0.262427106,0.608506433,0.091930019,0.037136443,0,0.801335744,0.59712276
Mixed_33,0.700264615,0.136965244,0.057743869,0.105026273,0,0.870020799,0.501194099
Mixed_34,0.321773705,0.364851091,0.032800061,0.280575143,0,0.65172759,0.760688473
Mixed_35,0.172619747,0.231473806,0.165591661,0.430314787,0,0.880700653,0.495613269
Mixed_36,0.277577786,0.381295093,0.00614636,0.334980761,0,0.896870835,0.46850122
Mixed_37,0.224288716,0.361832224,0,0.41387906,0,0.885059117,0.482936101
Mixed_38,0.136888261,0.397745296,0.049199232,0.41616721,0,0.876384431,0.49455002
Mixed_39,0.428655202,0.428229207,0.047527946,0.095587645,0,0.534009851,0.870699231
Mixed_40,0.40696155,0.331408596,0.205655859,0.055973994,0,0.692558275,0.720916999
Mixed_41,0.6752138,0.161317787,0.11466625,0.048802163,0,0.784762947,0.61904998
Mixed_42,0.32781561,0.246726132,0.291822616,0.133635642,0,0.771245183,0.63799868
Mixed_43,0.382252361,0.193643431,0.220210055,0.203894153,0,0.823659479,0.578263058
Mixed_44,0.210160601,0.58346021,0.137075165,0.069304024,0,0.924376526,0.406835935
Mixed_45,0.378655555,0.142222456,0.154410632,0.324711356,0,0.72899793,0.683400486
Mixed_46,0.728855866,0.084119512,0.04529401,0.141730612,0,0.713493712,0.703396856
Mixed_47,0.39834351,0.447428837,0.031159584,0.123068069,0,0.876495828,0.49707694
Mixed_48,0.182504047,0.298411033,0.11111905,0.40796587,0,0.83919161,0.553054252
Mixed_49,0.292165119,0.388721918,0.237110931,0.082002032,0,0.795562634,0.608446309
Mixed_50,0.567941223,0.15782379,0.127126865,0.147108122,0,0.436687962,0.945867332
Mixed_51,0.299422975,0.357294893,0.305236902,0.03804523,0,0.803797753,0.59758198
Mixed_52,0.40327006,0.062468273,0.317171724,0.217089943,0,0.822153438,0.576373384
Mixed_53,0.269174699,0.271930949,0.228135634,0.230758718,0,0.505301898,0.883804081
Mixed_54,0.544331197,0.195925954,0.054045894,0.205696955,0,0.825439968,0.571324499
Mixed_55,0.376314537,0.121597972,0.253961651,0.24812584,0,0.845446312,0.549942689
Mixed_56,0.592675929,0.171894925,0.145368526,0.09006062,0,0.576133177,0.833254664
Mixed_57,0.399107787,0.367109465,0.027253127,0.206529621,0,0.796121845,0.607627786
Mixed_58,0.377912302,0.244997101,0.214971307,0.16211929,0,0.84375177,0.552825176
Mixed_59,0.303098559,0.184773924,0.18015725,0.331970266,0,0.847108308,0.548350159
Mixed_60,0.529773645,0.071944318,0.080475089,0.317806948,0,0.773583013,0.63358083
Mixed_61,0.507841944,0.217951949,0.051308944,0.222897162,0,0.561173395,0.842252095
Mixed_62,0.25304594,0.329755088,0.099953295,0.317245677,0,0.772112067,0.636482919
Mixed_63,0.258958319,0.509549946,0.097508823,0.133982912,0,0.846043023,0.540217702
Mixed_64,0.480280109,0.214543902,0.185356546,0.119819442,0,0.813012941,0.588518292
Mixed_65,0.514012306,0.31386878,0.044964003,0.127154912,0,0.596098214,0.813989865
Mixed_66,0.490425174,0.21395318,0.095459896,0.20016175,0,0.914302806,0.448972139
Mixed_67,0.336583259,0.126380502,0.122644258,0.414391981,0,0.81916209,0.580074196
Mixed_68,0.424166987,0.23907629,0.056508812,0.280247911,0,0.842305423,0.552400258
Mixed_69,0.687895356,0.035588506,0.039323645,0.237192494,0,0.678389558,0.739940211
Mixed_70,0.358189957,0.278258256,0.254313872,0.109237915,0,0.781794848,0.625937215
Mixed_71,0.490915795,0.242121619,0.109924026,0.15703856,0,0.827896581,0.569985411
Mixed_72,0.286920484,0.179420166,0.067798712,0.465860638,0,0.748427227,0.661955147
Mixed_73,0.339574748,0.277425775,0.159222826,0.223776651,0,0.826166482,0.575288899
Mixed_74,0.612534432,0.098703355,0.184594019,0.104168195,0,0.824293623,0.569813365
Mixed_75,0.431262698,0.099225189,0.415201544,0.054310569,0,0.888086897,0.477032805
Mixed_76,0.351073129,0.543895513,0.026781768,0.078249589,0,0.911532339,0.431745387
Mixed_77,0.187539079,0.127260653,0.251469439,0.433730828,0,0.8690819,0.511598819
Mixed_78,0.462019455,0.299541136,0.049435171,0.189004238,0,0.906477584,0.458920601
Mixed_79,0.33455573,0.527299539,0.017757685,0.120387046,0,0.891528511,0.468461665
Mixed_80,0.240926142,0.480112867,0.155320904,0.123640088,0,0.494768453,0.901841958
Mixed_81,0.083662698,0.621070159,0.122945627,0.172321517,0,0.368034446,1.022444158
Mixed_82,0.525920305,0.117628283,0.298100693,0.058350719,0,0.768616483,0.638901282
Mixed_83,0.537311599,0.115016853,0.061294526,0.286377022,0,0.517264156,0.881024628
Mixed_84,0.681426207,0.124371207,0.064234985,0.129967601,0,0.774957526,0.631129355
Mixed_85,0.405086918,0.25489894,0.218964841,0.121049301,0,0.846789557,0.547383848
Mixed_86,0.556300848,0.286025963,0.119129726,0.038543463,0,0.783916719,0.62080266
Mixed_87,0.432124447,0.349451143,0.049580411,0.168843998,0,0.820223992,0.57834408
Mixed_88,0.39816165,0.243486561,0.108678079,0.24967371,0,0.716557721,0.696218571
Mixed_89,0.518984944,0.172187994,0.115677392,0.193149671,0,0.868378514,0.516036582
Mixed_90,0.186977806,0.135342295,0.449846651,0.227833248,0,0.750457987,0.659671324
Mixed_91,0.449754409,0.044770733,0.086470719,0.419004138,0,0.858032,0.525219331
Mixed_92,0.4204015,0.361297878,0.179918878,0.038381744,0,0.843682719,0.546436967
Mixed_93,0.31367408,0.047559483,0.243184549,0.395581888,0,0.789072953,0.615902784
Mixed_94,0.154505194,0.3171785,0.353038241,0.175278065,0,0.922251558,0.431932496
Mixed_95,0.40644812,0.298767529,0.036919038,0.257865313,0,0.70639624,0.706601583
Mixed_96,0.551863765,0.117466616,0.150594762,0.180074857,0,0.76634817,0.642277124
Mixed_97,0.40969323,0.360819649,0.067856279,0.161630842,0,0.891602931,0.481261236
Mixed_98,0.504210302,0.253616453,0.142987691,0.099185555,0,0.75027143,0.660340239
Mixed_99,0.469452422,0.302268991,0.07342325,0.154855337,0,0.878762573,0.500511
Mixed_100,0.472526604,0.217442279,0.088619452,0.221411665,0,0.539270897,0.858954812
Mixed_101,0.532779519,0.301909261,0.086487027,0.078824192,0,0.569739229,0.838297636
Mixed_102,0.32376679,0.416680309,0.084914313,0.174638588,0,0.858708109,0.527652238
Mixed_103,0.41499792,0.094067643,0.285776414,0.205158024,0,0.796144357,0.608883548
Mixed_104,0.544349717,0.153702607,0.187268815,0.114678861,0,0.880514114,0.495698283
Mixed_105,0.607493939,0.081891318,0.100221893,0.21039285,0,0.801929668,0.599026093
Mixed_106,0.38653342,0.211557785,0.206867811,0.195040984,0,0.69262748,0.719989284
Mixed_107,0.364277684,0.408329438,0.04635927,0.181033608,0,0.82515142,0.571327205
Mixed_108,0.371193255,0.345056707,0.062326574,0.221423465,0,0.743734293,0.667611713
Mixed_109,0.457630051,0.07771478,0.44692022,0.017734949,0,0.661317566,0.757625819
Mixed_110,0.3416666,0.261622184,0.184478235,0.212232981,0,0.867371221,0.522981928
Mixed_111,0.518709209,0.117618535,0.109183319,0.254488937,0,0.806615905,0.595589465
Mixed_112,0.322287009,0.246368384,0.141753307,0.2895913,0,0.692384658,0.720206701
Mixed_113,0.450262817,0.286212558,0.15042046,0.113104165,0,0.515981116,0.879025637
Mixed_114,0.498078101,0.273368213,0.053124446,0.17542924,0,0.660638596,0.752318399
Mixed_115,0.416802317,0.247279019,0.202709945,0.133208719,0,0.684136804,0.728504311
Mixed_116,0.71623977,0.018726765,0.136538586,0.128494879,0,0.807943383,0.588828543
Mixed_117,0.215723031,0.28381586,0.380025328,0.120435781,0,0.863072914,0.521473374
Mixed_118,0.49663472,0.098285393,0.254371953,0.150707934,0,0.699063143,0.714307408
Mixed_119,0.554119131,0.133167557,0.118342981,0.19437033,0,0.559707587,0.844492291
Mixed_120,0.610550256,0.150340185,0.096892737,0.142216822,0,0.847422465,0.53971805
Mixed_121,0.339809067,0.322706754,0.0967264,0.240757779,0,0.890229664,0.488037137
Mixed_122,0.378504226,0.349901743,0.213545701,0.058048331,0,0.860260876,0.525656845
Mixed_123,0.256489225,0.222264276,0.270109559,0.25113694,0,0.782571218,0.626031898
Mixed_124,0.453178112,0.15335684,0.120367416,0.273097631,0,0.733401167,0.678766408
Mixed_125,0.513097077,0.374645825,0.055407584,0.056849514,0,0.707899935,0.70668828
Mixed_126,0.357328815,0.36717972,0.016243557,0.259247907,0,0.707671909,0.705516555
Mixed_127,0.298113001,0.489745451,0.10971957,0.102421977,0,0.742298715,0.668815996
Mixed_128,0.480039925,0.258696705,0.067458061,0.19380531,0,0.65928913,0.753077786
Mixed_129,0.35775032,0.132836861,0.233965167,0.275447652,0,0.866060948,0.523411872
Mixed_130,0.374603036,0.145838677,0.1474125,0.332145787,0,0.785789067,0.621731239
Mixed_131,0.488676309,0.1292328,0.148171248,0.233919644,0,0.830889162,0.566771472
Mixed_132,0.53577563,0.207998469,0.122921314,0.133304587,0,0.843657077,0.54809317
Mixed_133,0.320949164,0.113428158,0.530479686,0.035142992,0,0.843250908,0.539861471
Mixed_134,0.184617503,0.571628521,0.198573592,0.045180384,0,0.686608395,0.731597042
Mixed_135,0.364912896,0.167913665,0.343661567,0.123511872,0,0.618328168,0.791222597
